source,target,type,weight
B05-S01-K01-A02,B05-S01-K01-A03,depends,0.78
B05-S01-K01-A01,B05-S01-K01-A03,contains,0.6
B05-S01-K02-A01,B05-S01-K02-A02,depends,0.78
B05-S02-K01-A01,B05-S02-K01-A02,depends,0.78
B05-S02-K01-A02,B05-S02-K01-A03,depends,0.78
B05-S02-K01-A01,B05-S02-K01-A03,contains,0.6
B05-S02-K02-A01,B05-S02-K02-A02,depends,0.78
B05-S03-K01-A01,B05-S03-K01-A02,depends,0.78
B05-S03-K01-A02,B05-S03-K01-A03,depends,0.78
B05-S03-K01-A01,B05-S03-K01-A03,contains,0.6
B05-S03-K02-A01,B05-S03-K02-A02,depends,0.78
B05-S04-K01-A01,B05-S04-K01-A02,depends,0.78
B05-S04-K02-A01,B05-S04-K02-A02,depends,0.78
B06-S01-K01-A01,B06-S01-K01-A02,depends,0.78
B06-S01-K02-A01,B06-S01-K02-A02,depends,0.78
B06-S02-K01-A01,B06-S02-K01-A02,depends,0.78
B06-S02-K01-A02,B06-S02-K01-A03,depends,0.78
B06-S02-K01-A01,B06-S02-K01-A03,contains,0.6
B06-S02-K02-A01,B06-S02-K02-A02,depends,0.78
B06-S02-K03-A01,B06-S02-K03-A02,depends,0.78
B06-S03-K01-A01,B06-S03-K01-A02,depends,0.78
B06-S03-K01-A02,B06-S03-K01-A03,depends,0.78
B06-S03-K01-A01,B06-S03-K01-A03,contains,0.6
B06-S03-K02-A01,B06-S03-K02-A02,depends,0.78
B06-S04-K01-A01,B06-S04-K01-A02,depends,0.78
B06-S04-K02-A01,B06-S04-K02-A02,depends,0.78
B07-S01-K01-A01,B07-S01-K01-A02,depends,0.78
B07-S01-K01-A02,B07-S01-K01-A03,depends,0.78
B07-S01-K01-A01,B07-S01-K01-A03,contains,0.6
B07-S01-K02-A01,B07-S01-K02-A02,depends,0.78
B07-S02-K01-A01,B07-S02-K01-A02,depends,0.78
B07-S03-K01-A01,B07-S03-K01-A02,depends,0.78
B08-S01-K01-A01,B08-S01-K01-A02,depends,0.78
B08-S01-K01-A02,B08-S01-K01-A03,depends,0.78
B08-S01-K01-A01,B08-S01-K01-A03,contains,0.6
B08-S01-K02-A01,B08-S01-K02-A02,depends,0.78
B08-S01-K03-A01,B08-S01-K03-A02,depends,0.78
B08-S02-K01-A01,B08-S02-K01-A02,depends,0.78
B08-S02-K01-A02,B08-S02-K01-A03,depends,0.78
B08-S02-K01-A01,B08-S02-K01-A03,contains,0.6
B08-S02-K02-A01,B08-S02-K02-A02,depends,0.78
B08-S02-K03-A01,B08-S02-K03-A02,depends,0.78
B08-S03-K01-A01,B08-S03-K01-A02,depends,0.78
B08-S03-K02-A01,B08-S03-K02-A02,depends,0.78
B08-S03-K03-A01,B08-S03-K03-A02,depends,0.78
B09-S01-K01-A01,B09-S01-K01-A02,depends,0.78
B09-S01-K02-A01,B09-S01-K02-A02,depends,0.78
B09-S01-K02-A02,B09-S01-K02-A03,depends,0.78
B09-S01-K02-A01,B09-S01-K02-A03,contains,0.6
B09-S01-K03-A01,B09-S01-K03-A02,depends,0.78
B09-S02-K01-A01,B09-S02-K01-A02,depends,0.78
B09-S02-K02-A01,B09-S02-K02-A02,depends,0.78
B09-S03-K01-A01,B09-S03-K01-A02,depends,0.78
B09-S03-K02-A01,B09-S03-K02-A02,depends,0.78
B09-S03-K03-A01,B09-S03-K03-A02,depends,0.78
B10-S01-K01-A01,B10-S01-K01-A02,depends,0.78
B10-S01-K01-A02,B10-S01-K01-A03,depends,0.78
B10-S01-K01-A01,B10-S01-K01-A03,contains,0.6
B10-S01-K02-A01,B10-S01-K02-A02,depends,0.78
B10-S01-K03-A01,B10-S01-K03-A02,depends,0.78
B10-S02-K01-A01,B10-S02-K01-A02,depends,0.78
B10-S02-K02-A01,B10-S02-K02-A02,depends,0.78
B10-S02-K03-A01,B10-S02-K03-A02,depends,0.78
B10-S03-K01-A01,B10-S03-K01-A02,depends,0.78
B10-S03-K02-A01,B10-S03-K02-A02,depends,0.78
B11-S01-K01-A01,B11-S01-K01-A02,depends,0.78
B11-S01-K01-A02,B11-S01-K01-A03,depends,0.78
B11-S01-K01-A01,B11-S01-K01-A03,contains,0.6
B11-S01-K02-A01,B11-S01-K02-A02,depends,0.78
B11-S01-K03-A01,B11-S01-K03-A02,depends,0.78
B11-S02-K01-A01,B11-S02-K01-A02,depends,0.78
B11-S02-K01-A02,B11-S02-K01-A03,depends,0.78
B11-S02-K01-A01,B11-S02-K01-A03,contains,0.6
B11-S02-K02-A01,B11-S02-K02-A02,depends,0.78
B11-S03-K01-A01,B11-S03-K01-A02,depends,0.78
B11-S03-K02-A01,B11-S03-K02-A02,depends,0.78
B01-S01-K01-A03,B01-S01-K02-A01,depends,0.66
B01-S01-K02-A03,B01-S01-K03-A01,depends,0.66
B01-S01-K03-A02,B01-S02-K01-A01,depends,0.66
B01-S02-K01-A03,B01-S02-K02-A01,depends,0.66
B01-S02-K02-A03,B01-S02-K03-A01,depends,0.66
B01-S02-K03-A02,B01-S03-K01-A01,depends,0.66
B01-S03-K01-A03,B01-S03-K02-A01,depends,0.66
B01-S03-K02-A03,B01-S03-K03-A01,depends,0.66
B01-S03-K03-A02,B01-S04-K01-A01,depends,0.66
B01-S04-K01-A03,B01-S04-K02-A01,depends,0.66
B01-S04-K02-A02,B01-S05-K01-A01,depends,0.66
B01-S05-K01-A03,B01-S05-K02-A01,depends,0.66
B01-S05-K02-A03,B01-S06-K01-A01,depends,0.66
B01-S06-K01-A03,B01-S06-K02-A01,depends,0.66
B02-S01-K01-A03,B02-S01-K02-A01,depends,0.66
B02-S01-K02-A02,B02-S02-K01-A01,depends,0.66
B02-S02-K01-A03,B02-S02-K02-A01,depends,0.66
B02-S02-K02-A02,B02-S03-K01-A01,depends,0.66
B02-S03-K01-A03,B02-S03-K02-A01,depends,0.66
B02-S03-K02-A02,B02-S03-K03-A01,depends,0.66
B02-S03-K03-A02,B02-S04-K01-A01,depends,0.66
B02-S04-K01-A03,B02-S04-K02-A01,depends,0.66
B03-S01-K01-A03,B03-S01-K02-A01,depends,0.66
B03-S01-K02-A02,B03-S02-K01-A01,depends,0.66
B03-S02-K01-A02,B03-S02-K02-A01,depends,0.66
B03-S02-K02-A02,B03-S03-K01-A01,depends,0.66
B03-S03-K01-A03,B03-S03-K02-A01,depends,0.66
B03-S03-K02-A02,B03-S03-K03-A01,depends,0.66
B03-S03-K03-A02,B03-S04-K01-A01,depends,0.66
B04-S01-K01-A03,B04-S01-K02-A01,depends,0.66
B04-S01-K02-A02,B04-S02-K01-A01,depends,0.66
B04-S02-K01-A03,B04-S02-K02-A01,depends,0.66
B04-S02-K02-A03,B04-S02-K03-A01,depends,0.66
B04-S02-K03-A02,B04-S03-K01-A01,depends,0.66
B04-S03-K01-A03,B04-S03-K02-A01,depends,0.66
B04-S03-K02-A03,B04-S04-K01-A01,depends,0.66
B04-S04-K01-A02,B04-S04-K02-A01,depends,0.66
B04-S04-K02-A03,B04-S05-K01-A01,depends,0.66
B05-S01-K01-A03,B05-S01-K02-A01,depends,0.66
B05-S01-K02-A02,B05-S02-K01-A01,depends,0.66
B05-S02-K01-A03,B05-S02-K02-A01,depends,0.66
B05-S02-K02-A02,B05-S03-K01-A01,depends,0.66
B05-S03-K01-A03,B05-S03-K02-A01,depends,0.66
B05-S03-K02-A02,B05-S04-K01-A01,depends,0.66
B05-S04-K01-A02,B05-S04-K02-A01,depends,0.66
B06-S01-K01-A02,B06-S01-K02-A01,depends,0.66
B06-S01-K02-A02,B06-S02-K01-A01,depends,0.66
B06-S02-K01-A03,B06-S02-K02-A01,depends,0.66
B06-S02-K02-A02,B06-S02-K03-A01,depends,0.66
B06-S02-K03-A02,B06-S03-K01-A01,depends,0.66
B06-S03-K01-A03,B06-S03-K02-A01,depends,0.66
B06-S03-K02-A02,B06-S04-K01-A01,depends,0.66
B06-S04-K01-A02,B06-S04-K02-A01,depends,0.66
B07-S01-K01-A03,B07-S01-K02-A01,depends,0.66
B07-S01-K02-A02,B07-S02-K01-A01,depends,0.66
B07-S02-K01-A02,B07-S03-K01-A01,depends,0.66
B08-S01-K01-A03,B08-S01-K02-A01,depends,0.66
B08-S01-K02-A02,B08-S01-K03-A01,depends,0.66
B08-S01-K03-A02,B08-S02-K01-A01,depends,0.66
B08-S02-K01-A03,B08-S02-K02-A01,depends,0.66
B08-S02-K02-A02,B08-S02-K03-A01,depends,0.66
B08-S02-K03-A02,B08-S03-K01-A01,depends,0.66
B08-S03-K01-A02,B08-S03-K02-A01,depends,0.66
B08-S03-K02-A02,B08-S03-K03-A01,depends,0.66
B09-S01-K01-A02,B09-S01-K02-A01,depends,0.66
B09-S01-K02-A03,B09-S01-K03-A01,depends,0.66
B09-S01-K03-A02,B09-S02-K01-A01,depends,0.66
B09-S02-K01-A02,B09-S02-K02-A01,depends,0.66
B09-S02-K02-A02,B09-S03-K01-A01,depends,0.66
B09-S03-K01-A02,B09-S03-K02-A01,depends,0.66
B09-S03-K02-A02,B09-S03-K03-A01,depends,0.66
B10-S01-K01-A03,B10-S01-K02-A01,depends,0.66
B10-S01-K02-A02,B10-S01-K03-A01,depends,0.66
B10-S01-K03-A02,B10-S02-K01-A01,depends,0.66
B10-S02-K01-A02,B10-S02-K02-A01,depends,0.66
B10-S02-K02-A02,B10-S02-K03-A01,depends,0.66
B10-S02-K03-A02,B10-S03-K01-A01,depends,0.66
B10-S03-K01-A02,B10-S03-K02-A01,depends,0.66
B11-S01-K01-A03,B11-S01-K02-A01,depends,0.66
B11-S01-K02-A02,B11-S01-K03-A01,depends,0.66
B11-S01-K03-A02,B11-S02-K01-A01,depends,0.66
B11-S02-K01-A03,B11-S02-K02-A01,depends,0.66
B11-S02-K02-A02,B11-S03-K01-A01,depends,0.66
B11-S03-K01-A02,B11-S03-K02-A01,depends,0.66
B01-S01-K01-A01,B01-S01-K02-A01,contains,0.68
B01-S01-K02-A01,B01-S01-K01-A01,contains,0.68
B01-S03-K03-A01,B01-S03-K01-A01,contains,0.68
B01-S03-K03-A01,B04-S02-K01-A01,contains,0.68
B01-S04-K02-A01,B01-S04-K01-A01,contains,0.68
B01-S06-K02-A01,B11-S03-K02-A01,contains,0.68
B01-S06-K02-A01,B11-S03-K01-A01,contains,0.68
B02-S02-K01-A01,B04-S05-K01-A01,contains,0.68
B02-S02-K02-A01,B02-S02-K01-A01,analogy,0.68
B02-S03-K03-A01,B02-S03-K02-A01,contains,0.68
B02-S04-K01-A01,B01-S02-K01-A01,contains,0.68
B03-S01-K01-A01,B01-S04-K01-A01,contains,0.68
B03-S01-K01-A01,B04-S02-K01-A01,contains,0.68
B03-S01-K02-A01,B03-S01-K01-A01,contains,0.68
B03-S03-K01-A01,B04-S02-K03-A01,contains,0.68
B03-S03-K02-A01,B03-S03-K01-A01,analogy,0.68
B04-S02-K02-A01,B03-S01-K01-A01,contains,0.68
B04-S02-K03-A01,B09-S01-K01-A01,contains,0.68
B04-S02-K03-A01,B03-S03-K01-A01,contains,0.68
B05-S01-K02-A01,B01-S02-K01-A01,contains,0.68
B05-S02-K01-A01,B03-S01-K01-A01,contains,0.68
B05-S04-K01-A01,B04-S01-K02-A01,contains,0.68
B06-S02-K01-A01,B04-S01-K02-A01,contains,0.68
B06-S02-K01-A01,B01-S02-K01-A01,contains,0.68
B06-S02-K01-A01,B04-S01-K01-A01,contains,0.68
B06-S02-K02-A01,B04-S01-K02-A01,contains,0.68
B07-S02-K01-A01,B03-S03-K01-A01,contains,0.68
B08-S01-K01-A01,B04-S04-K01-A01,analogy,0.68
B08-S01-K01-A01,B08-S01-K02-A01,analogy,0.68
B08-S02-K03-A01,B11-S02-K02-A01,analogy,0.68
B08-S03-K02-A01,B04-S04-K02-A01,analogy,0.68
B08-S03-K03-A01,B02-S04-K01-A01,analogy,0.68
B09-S01-K01-A01,B04-S02-K03-A01,analogy,0.68
B09-S01-K02-A01,B04-S02-K01-A01,analogy,0.68
B09-S01-K03-A01,B09-S03-K01-A01,contains,0.68
B09-S03-K01-A01,B09-S01-K03-A01,contains,0.68
B09-S03-K02-A01,B10-S03-K02-A01,contains,0.68
B10-S01-K01-A01,B10-S01-K03-A01,analogy,0.68
B10-S01-K02-A01,B10-S01-K01-A01,analogy,0.68
B10-S01-K03-A01,B10-S02-K01-A01,contains,0.68
B10-S02-K01-A01,B10-S01-K03-A01,analogy,0.68
B10-S02-K03-A01,B04-S01-K01-A01,analogy,0.68
B10-S02-K03-A01,B02-S04-K01-A01,analogy,0.68
B10-S03-K02-A01,B08-S02-K01-A01,analogy,0.68
B11-S02-K02-A01,B08-S02-K03-A01,contains,0.68
B11-S03-K01-A01,B11-S03-K02-A01,analogy,0.68
B11-S03-K02-A01,B11-S03-K01-A01,analogy,0.68
B01-S01-K02-A01,B01-S01-K01-A01,contrast,0.7
B04-S01-K02-A01,B01-S04-K01-A01,contains,0.7
B04-S01-K01-A01,B01-S06-K01-A01,contains,0.7
B04-S05-K01-A01,B02-S02-K01-A01,depends,0.7
B02-S04-K01-A01,B01-S02-K01-A01,depends,0.7
B04-S03-K01-A01,B08-S02-K01-A01,contains,0.7
B04-S03-K02-A01,B10-S01-K01-A01,contains,0.7
B06-S02-K03-A01,B04-S01-K01-A01,depends,0.7
B06-S02-K02-A01,B02-S01-K01-A01,depends,0.7
B01-S06-K02-A01,B11-S03-K02-A01,analogy,0.7
B05-S02-K02-A01,B04-S01-K02-A01,depends,0.7
B05-S01-K01-A01,B03-S01-K01-A01,depends,0.7
B05-S03-K01-A01,B01-S05-K01-A01,depends,0.7
B07-S02-K01-A01,B04-S03-K01-A01,depends,0.7
B07-S01-K01-A01,B04-S03-K02-A01,depends,0.7
B01-S05-K02-A01,B01-S05-K01-A01,contains,0.7
B01-S03-K03-A01,B01-S03-K01-A01,contains,0.7
B01-S02-K01-A01,B01-S02-K02-A01,depends,0.7
B04-S01-K01-A01,B04-S01-K02-A01,contains,0.7
B02-S03-K01-A01,B02-S03-K02-A01,contains,0.7
B02-S03-K01-A01,B02-S03-K03-A01,contains,0.7
B05-S03-K02-A01,B01-S05-K02-A01,depends,0.7
B01-S04-K01-A01,B01-S04-K02-A01,contains,0.7
B02-S02-K01-A01,B02-S02-K02-A01,contains,0.7
B04-S02-K01-A01,B01-S03-K03-A01,contains,0.7
