source,target,type,weight
B06-S02-K03-A01,B06-S02-K03-A02,depends,0.78
B06-S02-K04-A01,B06-S02-K04-A02,depends,0.78
B06-S02-K04-A02,B06-S02-K04-A03,depends,0.78
B06-S02-K04-A01,B06-S02-K04-A03,contains,0.6
B06-S02-K05-A01,B06-S02-K05-A02,depends,0.78
B06-S03-K06-A01,B06-S03-K06-A02,depends,0.78
B06-S03-K07-A01,B06-S03-K07-A02,depends,0.78
B06-S03-K07-A02,B06-S03-K07-A03,depends,0.78
B06-S03-K07-A01,B06-S03-K07-A03,contains,0.6
B06-S03-K08-A01,B06-S03-K08-A02,depends,0.78
B07-S01-K01-A01,B07-S01-K01-A02,depends,0.78
B07-S01-K02-A01,B07-S01-K02-A02,depends,0.78
B07-S01-K03-A01,B07-S01-K03-A02,depends,0.78
B07-S02-K04-A01,B07-S02-K04-A02,depends,0.78
B07-S02-K05-A01,B07-S02-K05-A02,depends,0.78
B07-S02-K05-A02,B07-S02-K05-A03,depends,0.78
B07-S02-K05-A01,B07-S02-K05-A03,contains,0.6
B07-S03-K06-A01,B07-S03-K06-A02,depends,0.78
B07-S03-K07-A01,B07-S03-K07-A02,depends,0.78
B07-S03-K08-A01,B07-S03-K08-A02,depends,0.78
B08-S01-K01-A01,B08-S01-K01-A02,depends,0.78
B08-S01-K02-A01,B08-S01-K02-A02,depends,0.78
B08-S02-K03-A01,B08-S02-K03-A02,depends,0.78
B08-S02-K04-A01,B08-S02-K04-A02,depends,0.78
B08-S03-K05-A01,B08-S03-K05-A02,depends,0.78
B08-S03-K05-A02,B08-S03-K05-A03,depends,0.78
B08-S03-K05-A01,B08-S03-K05-A03,contains,0.6
B08-S03-K06-A01,B08-S03-K06-A02,depends,0.78
B08-S03-K07-A01,B08-S03-K07-A02,depends,0.78
B09-S01-K01-A01,B09-S01-K01-A02,depends,0.78
B09-S01-K02-A01,B09-S01-K02-A02,depends,0.78
B09-S02-K03-A01,B09-S02-K03-A02,depends,0.78
B09-S02-K04-A01,B09-S02-K04-A02,depends,0.78
B09-S02-K05-A01,B09-S02-K05-A02,depends,0.78
B09-S02-K05-A02,B09-S02-K05-A03,depends,0.78
B09-S02-K05-A01,B09-S02-K05-A03,contains,0.6
B09-S03-K06-A01,B09-S03-K06-A02,depends,0.78
B09-S03-K07-A01,B09-S03-K07-A02,depends,0.78
B09-S03-K08-A01,B09-S03-K08-A02,depends,0.78
B10-S01-K01-A01,B10-S01-K01-A02,depends,0.78
B10-S01-K02-A01,B10-S01-K02-A02,depends,0.78
B10-S02-K03-A01,B10-S02-K03-A02,depends,0.78
B10-S03-K04-A01,B10-S03-K04-A02,depends,0.78
B10-S04-K05-A01,B10-S04-K05-A02,depends,0.78
B10-S04-K06-A01,B10-S04-K06-A02,depends,0.78
B10-S05-K07-A01,B10-S05-K07-A02,depends,0.78
B10-S05-K08-A01,B10-S05-K08-A02,depends,0.78
B11-S01-K01-A01,B11-S01-K01-A02,depends,0.78
B11-S01-K02-A01,B11-S01-K02-A02,depends,0.78
B11-S02-K03-A01,B11-S02-K03-A02,depends,0.78
B11-S03-K04-A01,B11-S03-K04-A02,depends,0.78
B11-S03-K05-A01,B11-S03-K05-A02,depends,0.78
B11-S04-K06-A01,B11-S04-K06-A02,depends,0.78
B11-S04-K07-A01,B11-S04-K07-A02,depends,0.78
B11-S05-K08-A01,B11-S05-K08-A02,depends,0.78
B11-S05-K09-A01,B11-S05-K09-A02,depends,0.78
B01-S01-K01-A03,B01-S01-K02-A01,depends,0.66
B01-S01-K02-A02,B01-S02-K03-A01,depends,0.66
B01-S02-K03-A03,B01-S02-K04-A01,depends,0.66
B01-S02-K04-A02,B01-S02-K05-A01,depends,0.66
B01-S02-K05-A03,B01-S03-K06-A01,depends,0.66
B01-S03-K06-A02,B01-S03-K07-A01,depends,0.66
B01-S03-K07-A03,B01-S04-K08-A01,depends,0.66
B01-S04-K08-A02,B01-S04-K09-A01,depends,0.66
B01-S01-K01-A03,B01-S04-K09-A01,contains,0.5
B02-S01-K01-A03,B02-S01-K02-A01,depends,0.66
B02-S01-K02-A02,B02-S01-K03-A01,depends,0.66
B02-S01-K03-A03,B02-S02-K04-A01,depends,0.66
B02-S02-K04-A02,B02-S02-K05-A01,depends,0.66
B02-S02-K05-A03,B02-S02-K06-A01,depends,0.66
B02-S02-K06-A02,B02-S03-K07-A01,depends,0.66
B02-S03-K07-A03,B02-S03-K08-A01,depends,0.66
B02-S03-K08-A02,B02-S03-K09-A01,depends,0.66
B02-S03-K09-A03,B02-S04-K10-A01,depends,0.66
B02-S04-K10-A02,B02-S04-K11-A01,depends,0.66
B02-S01-K01-A03,B02-S04-K11-A01,contains,0.5
B03-S01-K01-A02,B03-S01-K02-A01,depends,0.66
B03-S01-K02-A03,B03-S02-K03-A01,depends,0.66
B03-S02-K03-A02,B03-S02-K04-A01,depends,0.66
B03-S02-K04-A03,B03-S03-K05-A01,depends,0.66
B03-S03-K05-A02,B03-S03-K06-A01,depends,0.66
B03-S03-K06-A02,B03-S04-K07-A01,depends,0.66
B03-S04-K07-A02,B03-S04-K08-A01,depends,0.66
B03-S01-K01-A02,B03-S04-K08-A01,contains,0.5
B04-S01-K01-A03,B04-S01-K02-A01,depends,0.66
B04-S01-K02-A02,B04-S01-K03-A01,depends,0.66
B04-S01-K03-A03,B04-S02-K04-A01,depends,0.66
B04-S02-K04-A02,B04-S02-K05-A01,depends,0.66
B04-S02-K05-A03,B04-S02-K06-A01,depends,0.66
B04-S02-K06-A02,B04-S03-K07-A01,depends,0.66
B04-S03-K07-A02,B04-S03-K08-A01,depends,0.66
B04-S03-K08-A02,B04-S03-K09-A01,depends,0.66
B04-S01-K01-A03,B04-S03-K09-A01,contains,0.5
B05-S01-K01-A02,B05-S01-K02-A01,depends,0.66
B05-S01-K02-A03,B05-S02-K03-A01,depends,0.66
B05-S02-K03-A02,B05-S02-K04-A01,depends,0.66
B05-S02-K04-A03,B05-S03-K05-A01,depends,0.66
B05-S03-K05-A02,B05-S03-K06-A01,depends,0.66
B05-S03-K06-A03,B05-S03-K07-A01,depends,0.66
B05-S03-K07-A02,B05-S04-K08-A01,depends,0.66
B05-S01-K01-A02,B05-S04-K08-A01,contains,0.5
B06-S01-K01-A02,B06-S01-K02-A01,depends,0.66
B06-S01-K02-A03,B06-S02-K03-A01,depends,0.66
B06-S02-K03-A02,B06-S02-K04-A01,depends,0.66
B06-S02-K04-A03,B06-S02-K05-A01,depends,0.66
B06-S02-K05-A02,B06-S03-K06-A01,depends,0.66
B06-S03-K06-A02,B06-S03-K07-A01,depends,0.66
B06-S03-K07-A03,B06-S03-K08-A01,depends,0.66
B06-S01-K01-A02,B06-S03-K08-A01,contains,0.5
B07-S01-K01-A02,B07-S01-K02-A01,depends,0.66
B07-S01-K02-A02,B07-S01-K03-A01,depends,0.66
B07-S01-K03-A02,B07-S02-K04-A01,depends,0.66
B07-S02-K04-A02,B07-S02-K05-A01,depends,0.66
B07-S02-K05-A03,B07-S03-K06-A01,depends,0.66
B07-S03-K06-A02,B07-S03-K07-A01,depends,0.66
B07-S03-K07-A02,B07-S03-K08-A01,depends,0.66
B07-S01-K01-A02,B07-S03-K08-A01,contains,0.5
B08-S01-K01-A02,B08-S01-K02-A01,depends,0.66
B08-S01-K02-A02,B08-S02-K03-A01,depends,0.66
B08-S02-K03-A02,B08-S02-K04-A01,depends,0.66
B08-S02-K04-A02,B08-S03-K05-A01,depends,0.66
B08-S03-K05-A03,B08-S03-K06-A01,depends,0.66
B08-S03-K06-A02,B08-S03-K07-A01,depends,0.66
B08-S01-K01-A02,B08-S03-K07-A01,contains,0.5
B09-S01-K01-A02,B09-S01-K02-A01,depends,0.66
B09-S01-K02-A02,B09-S02-K03-A01,depends,0.66
B09-S02-K03-A02,B09-S02-K04-A01,depends,0.66
B09-S02-K04-A02,B09-S02-K05-A01,depends,0.66
B09-S02-K05-A03,B09-S03-K06-A01,depends,0.66
B09-S03-K06-A02,B09-S03-K07-A01,depends,0.66
B09-S03-K07-A02,B09-S03-K08-A01,depends,0.66
B09-S01-K01-A02,B09-S03-K08-A01,contains,0.5
B10-S01-K01-A02,B10-S01-K02-A01,depends,0.66
B10-S01-K02-A02,B10-S02-K03-A01,depends,0.66
B10-S02-K03-A02,B10-S03-K04-A01,depends,0.66
B10-S03-K04-A02,B10-S04-K05-A01,depends,0.66
B10-S04-K05-A02,B10-S04-K06-A01,depends,0.66
B10-S04-K06-A02,B10-S05-K07-A01,depends,0.66
B10-S05-K07-A02,B10-S05-K08-A01,depends,0.66
B10-S01-K01-A02,B10-S05-K08-A01,contains,0.5
B11-S01-K01-A02,B11-S01-K02-A01,depends,0.66
B11-S01-K02-A02,B11-S02-K03-A01,depends,0.66
B11-S02-K03-A02,B11-S03-K04-A01,depends,0.66
B11-S03-K04-A02,B11-S03-K05-A01,depends,0.66
B11-S03-K05-A02,B11-S04-K06-A01,depends,0.66
B11-S04-K06-A02,B11-S04-K07-A01,depends,0.66
B11-S04-K07-A02,B11-S05-K08-A01,depends,0.66
B11-S05-K08-A02,B11-S05-K09-A01,depends,0.66
B11-S01-K01-A02,B11-S05-K09-A01,contains,0.5
B02-S02-K05-A03,B04-S01-K01-A01,depends,0.84
B02-S03-K07-A03,B04-S01-K03-A01,contains,0.6
B02-S01-K01-A03,B04-S01-K01-A01,depends,0.74
B02-S02-K04-A02,B04-S03-K07-A01,analogy,0.48
B02-S01-K02-A02,B05-S01-K02-A01,depends,0.8
B02-S01-K03-A03,B05-S02-K04-A01,analogy,0.5
B02-S04-K10-A02,B05-S04-K08-A01,contains,0.5
B02-S04-K10-A02,B06-S03-K06-A01,contains,0.55
B02-S04-K11-A02,B06-S03-K07-A01,depends,0.82
B02-S01-K01-A03,B07-S01-K01-A01,analogy,0.46
B02-S02-K04-A02,B08-S01-K01-A01,analogy,0.52
B02-S04-K10-A02,B08-S03-K06-A01,contains,0.5
B04-S02-K06-A02,B05-S01-K01-A01,analogy,0.42
B04-S03-K07-A02,B05-S02-K04-A01,analogy,0.44
B04-S02-K05-A03,B06-S02-K03-A01,depends,0.7
B04-S02-K04-A02,B06-S02-K05-A01,contains,0.42
B04-S01-K02-A02,B06-S01-K02-A01,contains,0.4
B05-S02-K04-A03,B06-S02-K03-A01,depends,0.66
B05-S01-K02-A03,B06-S01-K02-A01,analogy,0.46
B05-S03-K06-A03,B06-S02-K04-A01,analogy,0.38
B06-S03-K06-A02,B08-S03-K05-A01,analogy,0.44
B06-S02-K03-A02,B08-S03-K05-A01,analogy,0.4
B07-S01-K02-A02,B08-S02-K03-A01,analogy,0.4
B07-S01-K03-A02,B08-S03-K05-A01,analogy,0.38
B07-S01-K01-A02,B01-S03-K06-A01,depends,0.74
B07-S02-K05-A03,B01-S04-K08-A01,analogy,0.4
B07-S03-K07-A02,B09-S02-K05-A01,evolved,0.5
B07-S02-K05-A03,B09-S03-K07-A01,depends,0.62
B01-S01-K01-A03,B03-S01-K01-A01,analogy,0.44
B01-S03-K07-A03,B03-S03-K06-A01,analogy,0.4
B01-S04-K08-A02,B09-S03-K06-A01,contains,0.4
B08-S03-K07-A02,B09-S03-K07-A01,analogy,0.42
B09-S01-K02-A02,B10-S01-K01-A01,analogy,0.36
B11-S03-K04-A02,B02-S02-K05-A01,contains,0.62
B11-S03-K04-A02,B04-S01-K03-A01,contains,0.6
B11-S01-K01-A02,B05-S02-K04-A01,contains,0.58
B11-S03-K05-A02,B07-S01-K02-A01,contains,0.54
B11-S04-K06-A02,B08-S03-K07-A01,contains,0.54
B11-S02-K03-A02,B11-S01-K02-A01,contains,0.55
B11-S05-K09-A02,B01-S04-K08-A01,analogy,0.4
B11-S05-K08-A02,B06-S03-K06-A01,contains,0.48
B01-S03-K06-A02,B01-S03-K07-A01,contrast,0.34
B02-S02-K05-A03,B02-S02-K06-A01,contrast,0.32
B05-S01-K01-A02,B05-S01-K02-A01,contrast,0.3
B04-S02-K05-A03,B04-S02-K06-A01,contrast,0.3
B07-S01-K03-A02,B07-S02-K04-A01,contrast,0.32
